,mask,colorvies,iou,f1score
0,0.png,0pred.png,94.00861570964068,96.9117947321854
1,1.png,1pred.png,96.79708600779888,98.37247895424926
2,2.png,2pred.png,95.42275208402428,97.65777123330672
3,3.png,3pred.png,97.52877387553912,98.74892853533433
4,4.png,4pred.png,98.41156526909238,99.19942432349984
5,5.png,5pred.png,97.74812789235648,98.86124226224315
6,6.png,6pred.png,95.21491787843084,97.54881329071938
7,7.png,7pred.png,89.98521408556529,94.7286498253889
8,8.png,8pred.png,91.33499001914693,95.47128835139566
9,9.png,9pred.png,96.34047321625395,98.13613223814767
10,10.png,10pred.png,93.7677345881479,96.78364128831937
11,11.png,11pred.png,98.24848865864827,99.11650709006537
12,12.png,12pred.png,96.53030715099665,98.23452530080384
13,13.png,13pred.png,94.76770339270635,97.31357072237799
14,14.png,14pred.png,98.03260042401907,99.00652742438952
15,15.png,15pred.png,97.67557522315896,98.82412140487415
16,16.png,16pred.png,58.75694564714345,74.02125986693885
17,17.png,17pred.png,97.85206118193422,98.9143712705168
18,18.png,18pred.png,95.10670394165595,97.4919897884148
19,19.png,19pred.png,94.59427310295607,97.22205242176686
20,20.png,20pred.png,97.51837354523674,98.74359715999034
21,21.png,21pred.png,94.13365100103755,96.9781905564991
22,22.png,22pred.png,95.94039125115134,97.92814093973858
23,23.png,23pred.png,93.35709379579718,96.56443625946389
24,24.png,24pred.png,98.41102550881307,99.19915010412748
25,25.png,25pred.png,98.30203935304995,99.14375028492415
26,26.png,26pred.png,95.99107455922297,97.95453673092359
27,27.png,27pred.png,92.08112863813568,95.87732984598254
28,28.png,28pred.png,97.69241001171231,98.83273718593902
29,29.png,29pred.png,92.61572935794092,96.16632002657644
30,30.png,30pred.png,91.90109754128102,95.77964766096413
31,31.png,31pred.png,94.7568547133191,97.30785070728383
32,32.png,32pred.png,97.03983276204532,98.4976808006483
33,33.png,33pred.png,97.08065785208811,98.5187069194264
34,34.png,34pred.png,90.40956332972662,94.96325893376168
35,35.png,35pred.png,93.46688927981542,96.62313755883282
36,36.png,36pred.png,96.86437268713439,98.4072144339449
37,37.png,37pred.png,95.8487920855043,97.88040157394316
38,38.png,38pred.png,95.34275990207136,97.61586244595736
39,39.png,39pred.png,97.55020388103857,98.75991212824228
