,mask,colorvies,iou,f1score
0,0.png,0pred.png,98.22574272559172,99.10493094892098
1,1.png,1pred.png,96.21945536046388,98.07330795379535
2,2.png,2pred.png,89.95072139635249,94.70953385711096
3,3.png,3pred.png,95.17541406528564,97.528077008152
4,4.png,4pred.png,97.45802787091827,98.71265192076999
5,5.png,5pred.png,95.45832617097611,97.67639787058697
6,6.png,6pred.png,99.28354024150636,99.64048222064633
7,7.png,7pred.png,97.94416540123817,98.96140682166883
8,8.png,8pred.png,97.7718741647201,98.87338589236194
9,9.png,9pred.png,93.44463265559337,96.61124361300955
10,10.png,10pred.png,96.44497712113989,98.19032131492582
11,11.png,11pred.png,97.98012253291884,98.97975744168696
12,12.png,12pred.png,98.41287739313584,99.20009092770758
13,13.png,13pred.png,92.0716222188508,95.87217638422639
14,14.png,14pred.png,92.88314099169315,96.31027420451778
15,15.png,15pred.png,98.01747629490151,98.9988137702826
16,16.png,16pred.png,93.19041471679844,96.47519505914211
17,17.png,17pred.png,95.9530970931587,97.93475940575854
18,18.png,18pred.png,63.53109015024083,77.699096962997
19,19.png,19pred.png,96.62220330164136,98.28208786106588
20,20.png,20pred.png,97.82786670904255,98.90200843435666
21,21.png,21pred.png,96.35916654441348,98.14582964490073
22,22.png,22pred.png,94.97272558068505,97.42154990943361
23,23.png,23pred.png,93.90978568463551,96.85925375356285
24,24.png,24pred.png,97.46156321820662,98.71446536712148
25,25.png,25pred.png,98.67246033983325,99.33179482556567
26,26.png,26pred.png,89.21584901020533,94.30060904189214
27,27.png,27pred.png,93.19503602040278,96.47767141445675
28,28.png,28pred.png,97.14234887473249,98.5504630833615
29,29.png,29pred.png,96.87702693758686,98.41374429968248
30,30.png,30pred.png,95.42427172292155,97.65856705682594
31,31.png,31pred.png,97.51250445695167,98.74058832381903
32,32.png,32pred.png,97.3439401425306,98.65409606418567
33,33.png,33pred.png,90.43998681307535,94.98003893672383
34,34.png,34pred.png,97.33277302227708,98.64836086937176
35,35.png,35pred.png,94.92875240497624,97.39840965867982
36,36.png,36pred.png,98.48343266730507,99.2359224584568
37,37.png,37pred.png,94.89060986298841,97.37832923782035
38,38.png,38pred.png,94.64005786450925,97.2462286569901
39,39.png,39pred.png,96.86417695432834,98.40711342500917
40,40.png,40pred.png,92.14059666954124,95.90955609241915
41,41.png,41pred.png,97.01985067864246,98.48738626534721
42,42.png,42pred.png,93.20016410529351,96.48041919312212
43,43.png,43pred.png,97.50979101637593,98.73919719584048
44,44.png,44pred.png,96.2513276315054,98.08986139674256
45,45.png,45pred.png,94.45527687181834,97.14858695666219
46,46.png,46pred.png,96.40744912901489,98.17086832148345
47,47.png,47pred.png,98.67809849552819,99.33465162265907
48,48.png,48pred.png,97.23652206467419,98.59890150850475
49,49.png,49pred.png,94.36263127384066,97.09956142844312
50,50.png,50pred.png,97.41793271482474,98.69208067895983
51,51.png,51pred.png,97.39827259896067,98.68199079617831
52,52.png,52pred.png,97.82931730983944,98.9027497442349
53,53.png,53pred.png,94.863338885674,97.36396741239271
54,54.png,54pred.png,97.04772634392569,98.50174690626908
55,55.png,55pred.png,98.64523601976849,99.31799825287698
56,56.png,56pred.png,97.84627752168743,98.91141622410535
57,57.png,57pred.png,93.48879691902012,96.63484233471927
58,58.png,58pred.png,93.36117351924801,96.56661864431065
59,59.png,59pred.png,96.5183428633106,98.22832968873999
60,60.png,60pred.png,98.67098031749714,99.3310448861837
61,61.png,61pred.png,94.5969390114209,97.22346044288909
62,62.png,62pred.png,98.17078089191085,99.07694812532083
63,63.png,63pred.png,95.30923516122678,97.59828825559579
64,64.png,64pred.png,96.24881945378172,98.08855892399306
65,65.png,65pred.png,96.20556182845145,98.0660904124287
66,66.png,66pred.png,97.49552229587846,98.73188127254376
67,67.png,67pred.png,98.10605121789538,99.04397227118446
68,68.png,68pred.png,97.04069094445306,98.49812287941013
69,69.png,69pred.png,95.67905422020823,97.79181997939892
70,70.png,70pred.png,96.54586412255404,98.24258022784332
71,71.png,71pred.png,95.97916414602928,97.94833503271057
72,72.png,72pred.png,94.46129195198985,97.15176835841571
73,73.png,73pred.png,99.12518388283767,99.56067027781023
74,74.png,74pred.png,97.1492245151808,98.5540011674762
75,75.png,75pred.png,93.25211272524095,96.50824656993377
76,76.png,76pred.png,97.02989133987995,98.49255935740403
77,77.png,77pred.png,95.13418945321862,97.50642849394269
